arm,decoding,metric,seed_17300_difference,seed_17301_difference,mean_difference,sample_sd
CT,released_comparable,validity,-0.040000000000000036,0.0,-0.020000000000000018,0.028284271247461926
CT,released_comparable,uniqueness,0.010101010101010055,0.0,0.0050505050505050275,0.007142492739258023
CT,released_comparable,quality,-0.04999999999999999,0.030000000000000027,-0.009999999999999981,0.05656854249492382
CT,released_comparable,diversity,-0.002866861328821635,0.0013979532468072486,-0.0007344540410071931,0.0030156793069304115
CT,strict,validity,-0.04999999999999993,0.020000000000000018,-0.014999999999999958,0.04949747468305829
CT,strict,uniqueness,0.0,0.0,0.0,0.0
CT,strict,quality,-0.07,0.010000000000000009,-0.03,0.05656854249492382
CT,strict,diversity,-0.011497932883901107,-0.009919232153600022,-0.010708582518750565,0.0011163099918600526
CE,released_comparable,validity,-0.020000000000000018,0.0,-0.010000000000000009,0.014142135623730963
CE,released_comparable,uniqueness,0.010101010101010055,0.0,0.0050505050505050275,0.007142492739258023
CE,released_comparable,quality,0.020000000000000018,0.04999999999999999,0.035,0.021213203435596406
CE,released_comparable,diversity,0.007816183143086297,0.0018905249622338527,0.004853354052660075,0.004190073082674305
CE,strict,validity,0.0,0.07999999999999996,0.03999999999999998,0.056568542494923775
CE,strict,uniqueness,0.0,0.0,0.0,0.0
CE,strict,quality,0.010000000000000009,0.02999999999999997,0.01999999999999999,0.014142135623730925
CE,strict,diversity,0.007673003171538517,0.004812763669652442,0.00624288342059548,0.0020224947476012766
