record_type,contrast_id,method,config_id,seed,branch,measure,operation,control_value,treatment_value,value,mean,sample_sd,defined_seed_count,expected_seed_count,status
raw_lexical_count,,CE,ce_t050_n512,1700,raw_lexical,odd_ring,,,,12,,,,,observed
raw_lexical_count,,CE,ce_t050_n512,1700,raw_lexical,bad_parentheses,,,,12,,,,,observed
raw_lexical_count,,CE,ce_t050_n512,1700,raw_lexical,both_flags,,,,2,,,,,observed
raw_lexical_count,,CE,ce_t050_n512,1700,raw_lexical,syntax_flag,,,,22,,,,,observed
raw_lexical_count,,CE,ce_t050_n512,1700,raw_lexical,flagged_strict_valid,,,,0,,,,,observed
released_repair_count,,CE,ce_t050_n512,1700,released_comparable,recovered,,,,27,,,,,observed
released_repair_count,,CE,ce_t050_n512,1700,released_comparable,largest_component,,,,18,,,,,observed
raw_lexical_count,,CE,ce_t050_n512,1701,raw_lexical,n,,,,100,,,,,observed
raw_lexical_count,,CE,ce_t050_n512,1701,raw_lexical,odd_ring,,,,11,,,,,observed
raw_lexical_count,,CE,ce_t050_n512,1701,raw_lexical,bad_parentheses,,,,11,,,,,observed
raw_lexical_count,,CE,ce_t050_n512,1701,raw_lexical,both_flags,,,,2,,,,,observed
raw_lexical_count,,CE,ce_t050_n512,1701,raw_lexical,syntax_flag,,,,20,,,,,observed
raw_lexical_count,,CE,ce_t050_n512,1701,raw_lexical,flagged_strict_valid,,,,0,,,,,observed
released_repair_count,,CE,ce_t050_n512,1701,released_comparable,recovered,,,,27,,,,,observed
released_repair_count,,CE,ce_t050_n512,1701,released_comparable,largest_component,,,,24,,,,,observed
